Meta Data
Label,Value,
Date,8/12/2024
Profile,HillsAndValleys
ScanDuration,14.7033 s
ScanLength,440.9 µm
ScanResolution,0.0999773 µm
ScanType,Standard Scan
StylusForce,10 mg
StylusScanRange,6.5 µm
StylusType,Radius: 2 μm
Time,12:52:22 PM


Data Leveling Position
R Cursor Position,NaN µm
R Cursor Width,0 µm
M Cursor Position,NaN µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,0,,
0.0999773241725443,-0.453915767914374,,
0.199954648345089,-0.532573735916669,,
0.299931972517633,0.058744439012111,,
0.399909296690177,-1.1302625013027,,
0.499886620862721,0.499019085104383,,
0.599863945035266,0.0890241295729748,,
0.69984126920781,0.718327557041822,,
0.799818593380354,-1.18226026759377,,
0.899795917552898,0.494235824282706,,
0.999773241725443,1.67330833744244,,
1.09975056589799,0.195389699353047,,
1.19972789007053,-0.917952162299332,,
1.29970521424308,-1.28381468928027,,
1.39968253841562,-0.392906634300668,,
1.49965986258816,-0.0832840765436931,,
1.59963718676071,-0.233144353492646,,
1.69961451093325,0.581054376137271,,
1.7995918351058,1.75963818813879,,
1.89956915927834,3.00015416205811,,
1.99954648345089,4.98393259792729,,
2.09952380762343,4.19938443738479,,
2.19950113179597,3.84894263981493,,
2.29947845596852,5.30230271648142,,
2.39945578014106,5.84072861492696,,
2.49943310431361,6.20068067153398,,
2.59941042848615,5.79074134075652,,
2.6993877526587,7.33259307485925,,
2.79936507683124,9.12948442007726,,
2.89934240100378,10.8682877665212,,
2.99931972517633,11.7152895676799,,
3.09929704934887,11.2398715262285,,
3.19927437352142,12.6476802717345,,
3.29925169769396,14.0228379952255,,
3.39922902186651,16.6344458015313,,
3.49920634603905,15.9139385848662,,
3.59918367021159,18.2837197531377,,
3.69916099438414,19.5680094265925,,
3.79913831855668,21.5973298408764,,
3.89911564272923,24.3463012144333,,
3.99909296690177,24.4183563349676,,
4.09907029107432,26.8870453037113,,
4.19904761524686,27.8489367327959,,
4.2990249394194,27.7062741259731,,
4.39900226359195,28.8886290466841,,
4.49897958776449,28.5668545462699,,
4.59895691193704,29.8011198561209,,
4.69893423610958,30.7794808819419,,
4.79891156028213,32.4927712832351,,
4.89888888445467,32.6253783275064,,
4.99886620862721,33.1224312356497,,
5.09884353279976,33.8557325342957,,
5.1988208569723,35.6757123201854,,
5.29879818114485,34.7123622547721,,
5.39877550531739,34.2897394449418,,
5.49875282948993,33.8609381685171,,
5.59873015366248,33.8614286221418,,
5.69870747783502,33.5752184039108,,
5.79868480200757,33.2624293526436,,
5.89866212618011,35.0943380113476,,
5.99863945035266,33.4773277397127,,
6.0986167745252,32.8554001279391,,
6.19859409869774,33.7071639274666,,
6.29857142287029,32.7517392376116,,
6.39854874704283,31.694977931147,,
6.49852607121538,31.7144865025624,,
6.59850339538792,32.4438359557243,,
6.69848071956047,31.9007104462233,,
6.79845804373301,30.2164108592356,,
6.89843536790555,29.1399616055209,,
6.9984126920781,28.3407107522759,,
7.09839001625064,27.3322349843319,,
7.19836734042319,24.3599103718637,,
7.29834466459573,24.9539560974966,,
7.39832198876828,23.468725845318,,
7.49829931294082,22.0467292869142,,
7.59827663711336,22.7193903846925,,
7.69825396128591,23.0523512253851,,
7.79823128545845,23.2620665373971,,
7.898208609631,24.3495232304798,,
7.99818593380354,25.4206165443542,,
8.09816325797608,25.7922673579626,,
8.19814058214863,25.6937145428908,,
8.29811790632117,26.812111643814,,
8.39809523049372,28.320201191299,,
8.49807255466626,30.3199094126961,,
8.59804987883881,30.72278970904,,
8.69802720301135,31.7343636659879,,
8.7980045271839,33.7586375132081,,
8.89798185135644,33.9810903902544,,
8.99795917552898,35.2513366367801,,
9.09793649970153,36.09209489376,,
9.19791382387407,36.7347275173889,,
9.29789114804662,37.048929714881,,
9.39786847221916,38.8066552583497,,
9.4978457963917,40.6008173523568,,
9.59782312056425,40.0298523424542,,
9.69780044473679,39.5279286837081,,
9.79777776890934,40.1603894316018,,
9.89775509308188,40.6915109774284,,
9.99773241725443,39.4267504663315,,
10.097709741427,39.2573256513899,,
10.1976870655995,39.7515486808487,,
10.2976643897721,38.6140076852875,,
10.3976417139446,37.5701675819705,,
10.4976190381171,38.8263067004949,,
10.5975963622897,37.5776734935497,,
10.6975736864622,35.1000860945995,,
10.7975510106348,35.6302133545108,,
10.8975283348073,35.7104507019912,,
10.9975056589799,33.963889148041,,
11.0974829831524,31.9720949852377,,
11.197460307325,32.3239692612355,,
11.2974376314975,30.3658679819319,,
11.39741495567,28.9190386430923,,
11.4973922798426,27.6548291525824,,
11.5973696040151,26.8493702886453,,
11.6973469281877,25.1237913762176,,
11.7973242523602,22.8653880921655,,
11.8973015765328,21.6780100244813,,
11.9972789007053,21.9283630108485,,
12.0972562248779,20.4779908764203,,
12.1972335490504,19.8250865180198,,
12.2972108732229,20.1721041836998,,
12.3971881973955,19.3824986133538,,
12.497165521568,18.3076665177558,,
12.5971428457406,19.2638707391352,,
12.6971201699131,20.1158338410589,,
12.7970974940857,20.2402222124895,,
12.8970748182582,19.925851813061,,
12.9970521424308,19.1549105175332,,
13.0970294666033,18.9828789792488,,
13.1970067907758,17.8432504470077,,
13.2969841149484,18.205637081784,,
13.3969614391209,20.5620313114564,,
13.4969387632935,19.8313499873362,,
13.596916087466,20.728655113048,,
13.6968934116386,21.4365903342524,,
13.7968707358111,22.0550813609974,,
13.8968480599837,22.2963777135696,,
13.9968253841562,24.0087335996436,,
14.0968027083287,25.3415099009103,,
14.1967800325013,25.9800256310072,,
