#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	449.0	4.4	25000	229.7	661.1	174.259750	35.652630
0	50.000	450.0	4.3	25000	229.7	661.1	174.404739	35.457687
0	50.000	451.0	4.3	25000	229.7	661.1	174.505524	35.428497
0	50.000	452.0	4.3	25000	229.7	661.1	174.587723	35.412643
0	50.000	453.0	4.3	25000	229.7	661.1	174.670151	35.405289
0	50.000	454.0	4.4	25000	229.7	661.1	174.745819	35.386547
0	50.000	455.0	4.4	25000	229.7	661.1	174.823273	35.387917
0	50.000	456.0	4.4	25000	229.7	661.1	174.913376	35.374996
0	50.000	457.0	4.4	25000	229.7	661.1	175.004730	35.361019
0	50.000	458.0	4.4	25000	229.7	661.1	175.093018	35.356339
0	50.000	459.0	4.4	25000	229.7	661.1	175.178345	35.345940
0	50.000	460.0	4.4	25000	229.7	661.1	175.250351	35.332520
0	50.000	461.0	4.4	25000	229.7	661.1	175.320953	35.316208
0	50.000	462.0	4.4	25000	229.7	661.1	175.376343	35.298679
0	50.000	463.0	4.4	25000	229.7	661.1	175.460144	35.287968
0	50.000	464.0	4.4	25000	229.7	661.1	175.528183	35.271507
0	50.000	465.0	4.4	25000	229.7	661.1	175.603271	35.254051
0	50.000	466.0	4.4	25000	229.7	661.1	175.671524	35.237350
0	50.000	467.0	4.4	25000	229.7	661.1	175.730621	35.224842
0	50.000	468.0	4.4	25000	229.7	661.1	175.801346	35.205666
0	50.000	469.0	4.4	25000	229.7	661.1	175.862122	35.191441
0	50.000	470.0	4.4	25000	229.7	661.1	175.962387	35.168831
0	50.000	471.0	4.4	25000	229.7	661.1	176.007553	35.149391
0	50.000	472.0	4.4	25000	229.7	661.1	176.067871	35.124065
0	50.000	473.0	4.3	25000	229.7	661.1	176.145477	35.112225
0	50.000	474.0	4.3	25000	229.7	661.1	176.189514	35.097881
0	50.000	475.0	4.3	25000	229.7	661.1	176.217026	35.077278
0	50.000	476.0	4.4	25000	229.7	661.1	176.287918	35.058994
0	50.000	477.0	4.4	25000	229.7	661.1	176.346008	35.047684
0	50.000	478.0	4.4	25000	229.7	661.1	176.365005	35.033211
0	50.000	479.0	4.4	25000	229.7	661.1	176.437286	35.007130
0	50.000	480.0	4.4	25000	229.7	661.1	176.490005	34.993015
0	50.000	481.0	4.4	25000	229.7	661.1	176.530090	34.967003
0	50.000	482.0	4.4	25000	229.7	661.1	176.554886	34.944614
0	50.000	483.0	4.4	25000	229.7	661.1	176.599258	34.911095
0	50.000	484.0	4.3	25000	229.7	661.1	176.670273	34.879105
0	50.000	485.0	4.3	25000	229.7	661.1	176.718643	34.857506
0	50.000	486.0	4.3	25000	229.7	661.1	176.733887	34.833832
0	50.000	487.0	4.3	25000	229.7	661.1	176.793213	34.804356
0	50.000	488.0	4.3	25000	229.7	661.1	176.861221	34.773037
0	50.000	489.0	4.3	25000	229.7	661.1	176.920013	34.743973
0	50.000	490.0	4.3	25000	229.7	661.1	176.989044	34.720783
0	50.000	491.0	4.3	25000	229.7	661.1	177.057266	34.680267
0	50.000	492.0	4.3	25000	229.7	661.1	177.091217	34.650043
0	50.000	493.0	4.3	25000	229.7	661.1	177.133362	34.623299
0	50.000	494.0	4.3	25000	229.7	661.1	177.170151	34.593754
0	50.000	495.0	4.3	25000	229.7	661.1	177.182770	34.567471
0	50.000	496.0	4.3	25000	229.7	661.1	177.210342	34.545357
0	50.000	497.0	4.3	25000	229.7	661.1	177.236008	34.516098
0	50.000	498.0	4.3	25000	229.7	661.1	177.256470	34.487259
0	50.000	499.0	4.3	25000	229.7	661.1	177.301315	34.455952
0	50.000	500.0	4.3	25000	229.7	661.1	177.300461	34.422527
0	50.000	501.0	4.3	25000	229.7	661.1	177.322311	34.391369
