#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	360.0	4.4	25000	235.0	579.5	168.316620	36.288700
0	50.000	361.0	4.4	25000	235.0	579.5	168.457535	36.571426
0	50.000	362.0	4.4	25000	235.0	579.5	168.347321	36.711395
0	50.000	363.0	4.4	25000	235.0	579.5	168.653503	36.712620
0	50.000	364.0	4.4	25000	235.0	579.5	169.039749	36.548229
0	50.000	365.0	4.4	25000	235.0	579.5	169.121826	36.592010
0	50.000	366.0	4.4	25000	235.0	579.5	168.847473	36.502258
0	50.000	367.0	4.5	25000	235.0	579.5	168.738708	36.471340
0	50.000	368.0	4.5	25000	235.0	579.5	168.890228	36.546925
0	50.000	369.0	4.5	25000	235.0	579.5	168.839508	36.633755
0	50.000	370.0	4.5	25000	235.0	579.5	169.111450	36.514786
0	50.000	371.0	4.4	25000	235.0	579.5	169.487091	36.538311
0	50.000	372.0	4.3	25000	235.0	579.5	169.574066	36.475002
0	50.000	373.0	4.1	25000	235.0	579.5	169.461655	36.423836
0	50.000	374.0	4.0	25000	235.0	579.5	169.339066	36.614109
0	50.000	375.0	3.9	25000	235.0	579.5	169.677643	36.771679
0	50.000	376.0	4.0	25000	235.0	579.5	169.740067	36.783520
0	50.000	377.0	4.2	25000	235.0	579.5	169.883347	36.787666
0	50.000	378.0	4.4	25000	235.0	579.5	169.892334	36.818943
0	50.000	379.0	4.6	25000	235.0	579.5	169.985809	36.795132
0	50.000	380.0	4.6	25000	235.0	579.5	170.182983	36.782032
0	50.000	381.0	4.6	25000	235.0	579.5	170.317062	36.792175
0	50.000	382.0	4.6	25000	235.0	579.5	170.316849	36.813740
0	50.000	383.0	4.5	25000	235.0	579.5	170.444046	36.815765
0	50.000	384.0	4.5	25000	235.0	579.5	170.557816	36.832233
0	50.000	385.0	4.5	25000	235.0	579.5	170.630035	36.823673
0	50.000	386.0	4.5	25000	235.0	579.5	170.777451	36.813419
0	50.000	387.0	4.5	25000	235.0	579.5	170.852783	36.830593
0	50.000	388.0	4.5	25000	235.0	579.5	170.871719	36.844501
0	50.000	389.0	4.5	25000	235.0	579.5	170.992203	36.819778
0	50.000	390.0	4.5	25000	235.0	579.5	171.060501	36.833385
0	50.000	391.0	4.5	25000	235.0	579.5	171.140381	36.814713
0	50.000	392.0	4.5	25000	235.0	579.5	171.253098	36.790344
