% Model:              Membran2D3D25membranethickness.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 4 2025, 21:14
% Dimension:          2
% Nodes:              251
% Expressions:        1
% Description:        Displacement field, Z component
% Length unit:        µm
% cpl1x                   cpl1y                    w (µm) @ memb_thick=2.5, edge_width=200, m_stylus=10, circ_pos=40
29.69294067321811         29.69294067321811        -0.09612305111484604
29.817903695288635        29.817903695288635       -0.09589349389772261
30.081745164124346        30.081745164124346       -0.09541364923893036
29.535462557113107        29.535462557113107       -0.09640648894791261
29.400332872732637        29.400332872732637       -0.09663410895382263
-499.9999999999999        -499.9999999999999       0
-461.2067152521843        -461.20671525218427      -7.105867814791725E-7
-452.4204553688842        -452.4204553688841       -5.991194302622666E-7
-431.5447876735226        -431.5447876735226       -8.982948130452246E-7
-404.838991288963         -404.83899128896303      -8.71628965118686E-7
-401.64570269430715       -401.64570269430715      -8.434276179905335E-7
-399.493919985778         -399.493919985778        -8.301122205758797E-7
-359.00585409924906       -359.00585409924906      -8.915162224679782E-7
-348.6244860021648        -348.6244860021649       -8.821486516486978E-7
-300.39085057594815       -300.3908505759482       -8.851362216857663E-7
-299.4376540979375        -299.4376540979375       -8.848224475593493E-7
-298.53403657094134       -298.5340365709413       -8.845981866884689E-7
-250.3955045841206        -250.3955045841206       -8.842120636323428E-7
-225.57002030629616       -225.57002030629616      -8.783146958791032E-7
-171.4324416577674        -171.4324416577674       -8.438504042796846E-7
-161.32303123321648       -161.3230312332165       -8.278025761003406E-7
-196.98364707219895       -196.98364707219892      -8.693690794536974E-7
-151.6015142324374        -151.6015142324374       -7.985654180688794E-7
-129.30148155078248       -129.30148155078246      -6.784298098521439E-7
-118.28947935252698       -118.28947935252697      -5.938293349518695E-7
-111.81880255172229       -111.81880255172227      -5.498639922354496E-7
-106.57061237712182       -106.57061237712182      -5.467169181722163E-7
-100.32237682104025       -100.32237682104025      -6.091687180649394E-7
-94.78850254371831        -94.78850254371831       -8.180419191493057E-7
-89.49706506247321        -89.49706506247321       -1.2923019169588346E-6
-84.53306774855172        -84.5330677485517        -2.353540664411996E-6
-82.77014234899576        -82.77014234899575       -2.9750184044509715E-6
-79.85231213485308        -79.85231213485308       -4.760753996294623E-6
-77.7946544699767         -77.7946544699767        -6.8165448255761266E-6
499.9999999999999         499.9999999999999        3.999723925865328E-37
462.11904772907565        462.11904772907576       -8.005744736340306E-7
-76.7860734527808         -76.78607345278081       -8.308112131933051E-6
-74.22390061014687        -74.22390061014687       -1.5663295224411834E-5
450.06561853961955        450.06561853961944       -6.757827522102336E-7
433.09829522028224        433.09829522028224       -8.902750620849131E-7
-73.22811710475948        -73.22811710475948       -2.156732288623448E-5
-72.31220481973702        -72.31220481973702       -3.09659781694721E-5
406.86833040814145        406.86833040814133       -8.473423490637847E-7
404.8685821449764         404.8685821449763        -8.238682111486839E-7
-70.69065173831274        -70.69065173831254       -8.626800822685397E-5
402.7970809398303         402.79708093983027       -8.190245579881734E-7
373.445285961653          373.445285961653         -9.002889857479574E-7
353.2174518048988         353.21745180489893       -8.890364515096743E-7
-69.67180369311583        -69.67180369311585       -1.8195125934948519E-4
330.6845660527718         330.68456605277186       -8.88733097604133E-7
306.9665897844655         306.96658978446555       -8.924039866099357E-7
-68.87794550936538        -68.87794550936539       -2.9704494363165984E-4
-68.65459713144367        -68.65459713144368       -3.3552899992502936E-4
277.27954199079113        277.27954199079113       -8.920017601675175E-7
275.1343562166617         275.1343562166617        -8.920746437301221E-7
-68.45557116086245        -68.45557116086246       -3.7197632606413006E-4
-67.64809165848172        -67.64809165848172       -5.40477251219319E-4
270.08221772482705        270.08221772482705       -8.929629237587424E-7
243.58141080393062        243.58141080393068       -8.97182175234462E-7
228.66189643082922        228.66189643082922       -9.007150868467894E-7
-66.95912454601854        -66.95912454601854       -7.099906124006007E-4
-66.47185111929412        -66.47185111929412       -8.438604376281969E-4
203.27116418625457        203.27116418625454       -8.979732379199553E-7
168.03406112212005        168.03406112212005       -7.516187147811565E-7
-65.38519756473944        -65.38519756473943       -0.0011829419090861762
-65.30155886153358        -65.30155886153356       -0.001211340982940152
-65.26960739522548        -65.26960739522546       -0.0012222737322808688
158.21468719898039        158.2146871989804        -6.315401818767618E-7
138.39434708774576        138.39434708774576       -3.206698296157862E-7
