Meta Data
Label,Value,
Date,8/12/2024
Profile,HillsAndValleys
ScanDuration,14.3433 s
ScanLength,430.11 µm
ScanResolution,0.0999791 µm
ScanType,Standard Scan
StylusForce,7 mg
StylusScanRange,6.5 µm
StylusType,Radius: 2 μm
Time,11:57:02 AM


Data Leveling Position
R Cursor Position,NaN µm
R Cursor Width,0 µm
M Cursor Position,NaN µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,0,,
0.0999790794646546,-0.462919984603181,,
0.199958158929309,-1.40726552276542,,
0.299937238393964,-1.08949363513535,,
0.399916317858618,-1.62415317186626,,
0.499895397323273,-0.786533625361603,,
0.599874476787928,-2.24566826595564,,
0.699853556252582,-2.65586424393701,,
0.799832635717237,-1.2664247513214,,
0.899811715181891,-2.05649399013649,,
0.999790794646546,-0.255418153127501,,
1.0997698741112,-0.00218020538279617,,
1.19974895357586,-0.839280293389274,,
1.29972803304051,1.11898273667755,,
1.39970711250516,0.162155046977318,,
1.49968619196982,-1.58705115300251,,
1.59966527143447,-2.68584785535026,,
1.69964435089913,-2.66620798144344,,
1.79962343036378,-2.13719708485613,,
1.89960250982844,-4.33247946121339,,
1.99958158929309,-5.0112952336925,,
2.09956066875775,-6.49006841800644,,
2.1995397482224,-7.36863736750847,,
2.29951882768706,-7.84048627297171,,
2.39949790715171,-8.89188671247368,,
2.49947698661636,-10.2517974194876,,
2.59945606608102,-12.3702683688874,,
2.69943514554567,-10.9872893050941,,
2.79941422501033,-9.70599023703342,,
2.89939330447498,-11.7378865412329,,
2.99937238393964,-12.1397605539297,,
3.09935146340429,-12.6114188356999,,
3.19933054286895,-13.0496740595383,,
3.2993096223336,-13.5894450961095,,
3.39928870179826,-14.7345035700264,,
3.49926778126291,-15.9520017840475,,
3.59924686072757,-16.0311799246234,,
3.69922594019222,-15.5459304278446,,
3.79920501965687,-16.1722690647702,,
3.89918409912153,-16.8309479550697,,
3.99916317858618,-17.1408589324875,,
4.09914225805084,-17.3668028646861,,
4.19912133751549,-16.4029688160406,,
4.29910041698015,-18.0974004818265,,
4.3990794964448,-19.2270824164891,,
4.49905857590946,-19.9300355613419,,
4.59903765537411,-21.5192080905691,,
4.69901673483877,-20.2564845257717,,
4.79899581430342,-20.1223714798763,,
4.89897489376807,-20.9748340744878,,
4.99895397323273,-20.1815141619821,,
5.09893305269738,-20.0007183185994,,
5.19891213216204,-21.1293934895057,,
5.29889121162669,-21.5299466706379,,
5.39887029109135,-21.9932020815017,,
5.498849370556,-21.329713308575,,
5.59882845002066,-19.8876002781317,,
5.69880752948531,-20.645915304907,,
5.79878660894997,-19.5172426091254,,
5.89876568841462,-19.6469400941863,,
5.99874476787928,-21.1229983982224,,
6.09872384734393,-18.6034111325965,,
6.19870292680858,-19.4993754018945,,
6.29868200627324,-21.551810698873,,
6.39866108573789,-20.6105159387568,,
6.49864016520255,-20.3433000479342,,
6.5986192446672,-19.2822661079725,,
6.69859832413186,-20.3621143288993,,
6.79857740359651,-20.969361290518,,
6.89855648306117,-19.8819805481444,,
6.99853556252582,-20.3781202655309,,
7.09851464199048,-18.8645129427376,,
