Meta Data
Label,Value,
Date,8/27/2024
Profile,HillsAndValleys
ScanDuration,16.5967 s
ScanLength,746.6 µm
ScanResolution,0.14998 µm
ScanType,Standard Scan
StylusForce,15 mg
StylusScanRange,65.5 µm
StylusType,Radius: 2 μm
Time,11:29:58 AM


Data Leveling Position
R Cursor Position,NaN µm
R Cursor Width,0 µm
M Cursor Position,NaN µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,0,,
0.149979911523228,0.0762892075793538,,
0.299959823046455,-15.512593922405,,
0.449939734569683,-1.00543195775673,,
0.599919646092911,-6.32241689383102,,
0.749899557616139,-17.5497943242117,,
0.899879469139366,-9.36629593792018,,
1.04985938066259,-9.98715926122834,,
1.19983929218582,-19.2162301589387,,
1.34981920370905,-14.4147208177096,,
1.49979911523228,-22.5797709436866,,
1.64977902675551,-29.094085252684,,
1.79975893827873,-22.7909144910164,,
1.94973884980196,-27.6292238021878,,
2.09971876132519,-31.4148466272505,,
2.24969867284842,-24.9804126983343,,
2.39967858437164,-32.4257189460257,,
2.54965849589487,-33.9410219366125,,
2.6996384074181,-26.6180933364291,,
2.84961831894133,-38.4914601952312,,
2.99959823046455,-39.5223306078812,,
3.14957814198778,-32.7446636850915,,
3.29955805351101,-40.9868535237748,,
3.44953796503424,-42.9443423022425,,
3.59951787655747,-34.1281969818924,,
3.74949778808069,-43.6190420753962,,
3.89947769960392,-36.3079483063025,,
4.04945761112715,-28.19949187149,,
4.19943752265038,-33.9763373568588,,
4.3494174341736,-31.4833474369891,,
4.49939734569683,-25.7104409010533,,
4.64937725722006,-37.4763780924131,,
4.79935716874329,-36.7863656870116,,
4.94933708026652,-36.9684509799184,,
5.09931699178974,-53.342401594641,,
5.24929690331297,-52.658450765867,,
5.3992768148362,-50.2452770620625,,
5.54925672635943,-57.48341203995,,
5.69923663788265,-55.2927327516789,,
5.84921654940588,-48.181883698043,,
5.99919646092911,-54.0409674317507,,
6.14917637245234,-45.213860286129,,
6.29915628397556,-40.2986040667464,,
6.44913619549879,-44.8418279581308,,
6.59911610702202,-37.3732381147674,,
6.74909601854525,-28.9761111938329,,
6.89907593006848,-29.0583481588652,,
7.0490558415917,-22.9255662356336,,
7.19903575311493,-19.5546445500698,,
7.34901566463816,-25.8042614627677,,
7.49899557616139,-20.3380505574071,,
7.64897548768461,-21.9753458633562,,
7.79895539920784,-28.6900124047828,,
7.94893531073107,-29.0955525670466,,
8.0989152222543,-31.9198206563883,,
8.24889513377753,-42.5625558202117,,
8.39887504530075,-43.4074674645788,,
8.54885495682398,-49.5117749323734,,
8.69883486834721,-62.6002419474183,,
8.84881477987044,-70.0084845366448,,
8.99879469139366,-76.4037545645511,,
9.14877460291689,-94.4014128283841,,
9.29875451444012,-100.933812788254,,
9.44873442596335,-106.512578391589,,
9.59871433748657,-119.844218790133,,
9.7486942490098,-120.377520467902,,
9.89867416053303,-122.698682781983,,
10.0486540720563,-129.45721675831,,
10.1986339835795,-127.795220707881,,
10.3486138951027,-127.384694668695,,
10.4985938066259,-134.540803007089,,
10.6485737181492,-123.618404758661,,
10.7985536296724,-118.209763095718,,
10.9485335411956,-117.732522764263,,
11.0985134527189,-102.233918914859,,
11.2484933642421,-97.3851710027548,,
11.3984732757653,-100.563141742826,,
11.5484531872885,-94.3524118659888,,
11.6984330988118,-93.8402456685439,,
11.848413010335,-103.157035626501,,
11.9983929218582,-97.9248085953826,,
12.1483728333814,-98.9291229213789,,
12.2983527449047,-102.439748936266,,
12.4483326564279,-95.406156074218,,
12.5983125679511,-93.954586418181,,
12.7482924794744,-95.8347940111869,,
12.8982723909976,-84.436881971098,,
13.0482523025208,-86.2676069197261,,
13.198232214044,-86.7020082203967,,
13.3482121255673,-77.9336566188519,,
13.4981920370905,-76.5672813892377,,
13.6481719486137,-78.2696234295187,,
13.798151860137,-71.9393224103274,,
13.9481317716602,-74.3639158684796,,
14.0981116831834,-83.7463552780771,,
14.2480915947066,-83.6306837328484,,
14.3980715062299,-95.236349232052,,
14.5480514177531,-103.392539127233,,
14.6980313292763,-108.653326884626,,
14.8480112407995,-113.087605127446,,
14.9979911523228,-121.535476744986,,
15.147971063846,-118.569797033031,,
15.2979509753692,-122.948887540594,,
15.4479308868925,-128.73869622573,,
15.5979107984157,-128.233327353602,,
15.7478907099389,-130.175231556167,,
15.8978706214621,-137.294436965429,,
16.0478505329854,-134.24165277224,,
16.1978304445086,-137.093331136111,,
16.3478103560318,-143.427216640743,,
16.4977902675551,-136.392569903739,,
16.6477701790783,-135.892616515895,,
16.7977500906015,-136.032548602586,,
16.9477300021247,-127.999070208377,,
17.097709913648,-127.199146515985,,
17.2476898251712,-129.203198745233,,
17.3976697366944,-123.955190413078,,
17.5476496482176,-126.604523518395,,
17.6976295597409,-133.543058804029,,
17.8476094712641,-127.774583865212,,
17.9975893827873,-127.609907972088,,
18.1475692943106,-129.229297161056,,
18.2975492058338,-122.078426945301,,
18.447529117357,-117.242083553372,,
18.5975090288802,-113.80078476605,,
18.7474889404035,-98.107201601774,,
18.8974688519267,-96.0308046242018,,
19.0474487634499,-98.6133483542971,,
19.1974286749732,-94.6885944055353,,
19.3474085864964,-96.97142295007,,
19.4973884980196,-105.855713681351,,
19.6473684095428,-100.960066477947,,
19.7973483210661,-108.656635877384,,
19.9473282325893,-118.082081934562,,
20.0973081441125,-116.327786109963,,
20.2472880556357,-126.108959854294,,
20.397267967159,-137.778583804514,,
20.5472478786822,-139.631285021808,,
20.6972277902054,-154.211416776707,,
20.8472077017287,-167.739492829601,,
20.9971876132519,-168.123157353009,,
21.1471675247751,-177.730003005305,,
21.2971474362983,-186.604563705603,,
21.4471273478216,-189.131156458049,,
21.5971072593448,-197.420943281134,,
21.747087170868,-203.476986137415,,
21.8970670823912,-196.305664637,,
22.0470469939145,-199.494560189542,,
22.1970269054377,-193.046347878938,,
22.3470068169609,-174.285060648871,,
22.4969867284842,-173.163740240211,,
22.6469666400074,-170.781023799521,,
22.7969465515306,-162.2674106614,,
22.9469264630538,-168.1890354687,,
23.0969063745771,-171.137102983502,,
23.2468862861003,-162.810469084589,,
23.3968661976235,-169.443450348041,,
23.5468461091468,-167.055399812401,,
23.69682602067,-156.209389403432,,
23.8468059321932,-158.556734006432,,
23.9967858437164,-154.351597015909,,
24.1467657552397,-143.418312514957,,
24.2967456667629,-150.247392891794,,
24.4467255782861,-146.244669373339,,
24.5967054898093,-141.093732491421,,
24.7466854013326,-150.281288906624,,
24.8966653128558,-146.064253730831,,
25.046645224379,-141.856539999245,,
25.1966251359023,-146.967798260053,,
25.3466050474255,-146.568155962321,,
25.4965849589487,-141.824789920689,,
25.6465648704719,-153.381656209091,,
25.7965447819952,-156.257334451568,,
25.9465246935184,-158.728548288403,,
26.0965046050416,-169.622560340847,,
26.2464845165649,-169.750300702161,,
26.3964644280881,-169.949157446262,,
26.5464443396113,-180.509100154966,,
26.6964242511345,-178.594944233379,,
26.8464041626578,-177.647445230965,,
26.996384074181,-186.856968732299,,
27.1463639857042,-184.777270863239,,
27.2963438972274,-183.70788099606,,
27.4463238087507,-189.074008482427,,
27.5963037202739,-189.646371250637,,
27.7462836317971,-186.469230936555,,
27.8962635433204,-196.117928673008,,
28.0462434548436,-194.558553898812,,
28.1962233663668,-193.777646811943,,
28.34620327789,-198.834979142563,,
28.4961831894133,-194.354796306894,,
28.6461631009365,-187.555697005354,,
28.7961430124597,-191.440694363328,,
28.946122923983,-183.532658893009,,
29.0961028355062,-177.611834329901,,
29.2460827470294,-184.41117236139,,
29.3960626585526,-178.825046524666,,
29.5460425700759,-176.92920635901,,
29.6960224815991,-179.063354245457,,
29.8460023931223,-177.655431743536,,
29.9959823046455,-172.501168702461,,
30.1459622161688,-180.163972135752,,
30.295942127692,-175.385782842013,,
30.4459220392152,-174.080271240956,,
30.5959019507385,-177.711524902725,,
30.7458818622617,-172.245622078019,,
30.8958617737849,-168.862968163908,,
31.0458416853081,-173.0583040119,,
31.1958215968314,-168.62084423098,,
31.3458015083546,-163.151372247137,,
31.4957814198778,-171.261974397588,,
