Meta Data
Label,Value,
Date,8/27/2024
Profile,HillsAndValleys
ScanDuration,15.1533 s
ScanLength,681.63 µm
ScanResolution,0.149974 µm
ScanType,Standard Scan
StylusForce,13 mg
StylusScanRange,65.5 µm
StylusType,Radius: 2 μm
Time,12:04:11 PM


Data Leveling Position
R Cursor Position,NaN µm
R Cursor Width,0 µm
M Cursor Position,NaN µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,0,,
0.149973597262903,5.21250894778892,,
0.299947194525805,6.17902366371834,,
0.449920791788708,6.80190387547544,,
0.599894389051611,3.13136693182396,,
0.749867986314513,-1.27223382843628,,
0.899841583577416,-0.687084279080038,,
1.04981518084032,-6.49676824031094,,
1.19978877810322,-7.60089474174131,,
1.34976237536612,-15.0892668326514,,
1.49973597262903,-24.3206594348274,,
1.64970956989193,-31.5987691598192,,
1.79968316715483,-33.8021764272799,,
1.94965676441773,-36.646645296322,,
2.09963036168064,-38.5699595992198,,
2.24960395894354,-35.429513180828,,
2.39957755620644,-32.1033361431653,,
2.54955115346935,-29.9895631437215,,
2.69952475073225,-24.1149821954556,,
2.84949834799515,-18.3132287531291,,
2.99947194525805,-20.452683248078,,
3.14944554252096,-11.6463449964545,,
3.29941913978386,-5.66131999209069,,
3.44939273704676,-0.526658773535765,,
3.59936633430966,3.29651186286395,,
3.74933993157257,5.34374850390848,,
3.89931352883547,6.48314002505209,,
4.04928712609837,5.16682338879416,,
4.19926072336128,2.50755226068825,,
4.34923432062418,-5.23995213575082,,
4.49920791788708,-7.66980573880434,,
4.64918151514998,-9.31789448526825,,
4.79915511241289,-12.5464947013102,,
4.94912870967579,-18.5098046940742,,
5.09910230693869,-14.2691705126682,,
5.24907590420159,-17.2765152101844,,
5.3990495014645,-17.5824175807742,,
5.5490230987274,-19.9353977518971,,
5.6989966959903,-18.9885585416042,,
5.8489702932532,-19.4084144601956,,
5.99894389051611,-13.3819270126891,,
6.14891748777901,-5.84889518289654,,
6.29889108504191,0.238726867611911,,
6.44886468230482,4.2715080819114,,
6.59883827956772,8.21327721148091,,
6.74881187683062,10.3195726082924,,
6.89878547409352,8.89138223097959,,
7.04875907135643,7.54142901052398,,
7.19873266861933,1.32064110190166,,
7.34870626588223,-1.88851209026816,,
7.49867986314513,-1.48332788048062,,
7.64865346040804,-3.45840152816952,,
7.79862705767094,-6.4839143991801,,
7.94860065493384,-0.297288611084298,,
8.09857425219674,-0.212244648144958,,
8.24854784945965,-0.629364160535079,,
8.39852144672255,-1.96747532421191,,
8.54849504398545,-5.87777722443567,,
8.69846864124836,-15.1378489690615,,
8.84844223851126,-20.7592587495533,,
8.99841583577416,-25.9944798374135,,
9.14838943303706,-34.195363779757,,
9.29836303029997,-38.4252910636298,,
9.44833662756287,-40.4077733107277,,
9.59831022482577,-37.0517903489133,,
9.74828382208868,-34.3924876811388,,
9.89825741935158,-27.4399521896569,,
10.0482310166145,-22.7061779640873,,
10.1982046138774,-16.8745913677615,,
10.3481782111403,-10.3600951511631,,
10.4981518084032,-8.78103115874596,,
10.6481254056661,-7.61916031449314,,
10.798099002929,-3.30075420627593,,
10.9480726001919,-6.21453839862236,,
11.0980461974548,-9.06981859950364,,
11.2480197947177,-11.6706926373425,,
11.3979933919806,-15.0445188636771,,
11.5479669892435,-17.6327263529994,,
11.6979405865064,-20.3206112470634,,
11.8479141837693,-18.9124221793363,,
11.9978877810322,-20.6473021284445,,
12.1478613782951,-21.5806849236331,,
12.297834975558,-16.3497467062364,,
12.4478085728209,-9.95197596017625,,
12.5977821700838,-7.90016726264009,,
12.7477557673467,-3.1115310082624,,
12.8977293646096,-0.97958393254882,,
13.0477029618725,-4.51607026270825,,
13.1976765591354,-3.77187091477625,,
13.3476501563983,-3.65810789025584,,
13.4976237536612,-8.03583499206657,,
13.6475973509241,-11.7375616749314,,
13.797570948187,-10.5390485657669,,
13.9475445454499,-14.2778772533997,,
14.0975181427129,-12.7614610498047,,
14.2474917399758,-10.7911970302258,,
14.3974653372387,-11.0050934922259,,
14.5474389345016,-10.9861451581705,,
14.6974125317645,-8.18160631050468,,
14.8473861290274,-10.2545832893442,,
14.9973597262903,-8.50811644501178,,
15.1473333235532,-6.68586810709064,,
15.2973069208161,-7.54622446879999,,
15.447280518079,-7.5081850539401,,
15.5972541153419,-9.20545238364434,,
15.7472277126048,-10.2564566621864,,
15.8972013098677,-13.2578010515887,,
16.0471749071306,-14.4516490274959,,
16.1971485043935,-18.8028170456478,,
16.3471221016564,-23.6672835665836,,
16.4970956989193,-28.6591301283673,,
16.6470692961822,-25.6835833365051,,
16.7970428934451,-28.2908480337093,,
16.947016490708,-26.3754759621836,,
17.0969900879709,-23.5069203949519,,
17.2469636852338,-22.3374945618962,,
17.3969372824967,-17.9882045794837,,
17.5469108797596,-14.4142626961862,,
17.6968844770225,-13.2251021619092,,
17.8468580742854,-13.3751109218468,,
17.9968316715483,-12.3184320739425,,
18.1468052688112,-11.1880526330469,,
18.2967788660741,-11.1704919007676,,
18.446752463337,-10.923019210212,,
18.5967260605999,-6.54634383559294,,
18.7466996578628,-4.43366345161205,,
18.8966732551257,-1.12421036035767,,
19.0466468523886,-0.657029701948471,,
19.1966204496515,-3.29200718793302,,
19.3465940469144,-6.50052997308434,,
19.4965676441774,-6.25745331559812,,
19.6465412414403,-7.43905900167514,,
19.7965148387032,-7.54583456685773,,
19.9464884359661,-6.55885848480235,,
20.096462033229,-8.3520968881598,,
20.2464356304919,-11.7382185509107,,
20.3964092277548,-12.7460729373858,,
20.5463828250177,-12.355819038207,,
20.6963564222806,-16.7710194535666,,
20.8463300195435,-13.1725476834973,,
20.9963036168064,-10.0925661184128,,
21.1462772140693,-11.5123596692011,,
21.2962508113322,-7.36014455508766,,
21.4462244085951,-3.8248131540685,,
21.596198005858,-6.18591008528594,,
21.7461716031209,-0.568994122280573,,
21.8961452003838,4.35022530746765,,
22.0461187976467,3.18265778248831,,
22.1960923949096,5.88461737385163,,
22.3460659921725,8.79512620576311,,
22.4960395894354,11.7878497044318,,
22.6460131866983,10.8817251608584,,
22.7959867839612,12.2559020761305,,
22.9459603812241,13.3982390231486,,
23.095933978487,15.4389230807302,,
23.2459075757499,11.8923984848274,,
23.3958811730128,12.8058813553067,,
23.5458547702757,6.97985172912298,,
23.6958283675386,7.12907605761843,,
23.8458019648015,7.29106299031,,
23.9957755620644,6.16423070284039,,
24.1457491593273,6.24538432428308,,
24.2957227565902,5.00581468391592,,
24.4456963538531,4.91910923341143,,
24.595669951116,0.894049620526661,,
24.7456435483789,4.29284170545756,,
24.8956171456418,-0.0482189148403007,,
25.0455907429048,-1.079395561179,,
25.1955643401677,-1.28776008535649,,
25.3455379374306,-3.41666953361582,,
25.4955115346935,-10.2559360653381,,
25.6454851319564,-12.9707135770173,,
25.7954587292193,-16.3792341912376,,
25.9454323264822,-22.9546222488238,,
26.0954059237451,-27.385699363421,,
26.245379521008,-30.4402788637748,,
26.3953531182709,-32.9789341840104,,
26.5453267155338,-33.3827172242714,,
26.6953003127967,-30.0716000826412,,
26.8452739100596,-26.7156988722165,,
26.9952475073225,-24.6821496476632,,
