Meta Data
Label,Value,
Date,8/27/2024
Profile,HillsAndValleys
ScanDuration,15.1533 s
ScanLength,681.63 µm
ScanResolution,0.149974 µm
ScanType,Standard Scan
StylusForce,10 mg
StylusScanRange,65.5 µm
StylusType,Radius: 2 μm
Time,12:05:29 PM


Data Leveling Position
R Cursor Position,NaN µm
R Cursor Width,0 µm
M Cursor Position,NaN µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,0,,
0.149973597262903,0.332079272154076,,
0.299947194525805,-1.65345607403098,,
0.449920791788708,-0.0423017731526762,,
0.599894389051611,-3.81852180817764,,
0.749867986314513,-7.35923415787519,,
0.899841583577416,-9.32563925002743,,
1.04981518084032,-11.6261062338065,,
1.19978877810322,-15.2343174700161,,
1.34976237536612,-20.1930600312336,,
1.49973597262903,-25.6347997271417,,
1.64970956989193,-27.4044373277878,,
1.79968316715483,-31.3818708428793,,
1.94965676441773,-28.3487840562763,,
2.09963036168064,-29.364257939501,,
2.24960395894354,-29.3418494297079,,
2.39957755620644,-22.9228594624214,,
2.54955115346935,-18.8473655996258,,
2.69952475073225,-14.8421066625722,,
2.84949834799515,-9.79260657312537,,
2.99947194525805,-2.65293126259411,,
3.14944554252096,1.10616400340609,,
3.29941913978386,7.27663606657701,,
3.44939273704676,6.55957822455948,,
3.59936633430966,6.05068935699094,,
3.74933993157257,4.39960312314221,,
3.89931352883547,4.0787060378339,,
4.04928712609837,-1.23835760134818,,
4.19926072336128,-6.44634220454833,,
4.34923432062418,-11.1619675209748,,
4.49920791788708,-13.7300506687369,,
4.64918151514998,-16.3547870479631,,
4.79915511241289,-16.2799427720782,,
4.94912870967579,-17.0710190910043,,
5.09910230693869,-21.1196141021735,,
5.24907590420159,-17.9450596132083,,
5.3990495014645,-15.9234018264317,,
5.5490230987274,-13.7385673048885,,
5.6989966959903,-7.52164314075926,,
5.8489702932532,2.63651617799454,,
5.99894389051611,7.34098913794891,,
6.14891748777901,13.4278477730624,,
6.29889108504191,15.3460514428489,,
6.44886468230482,12.5709264878012,,
6.59883827956772,11.2591752071982,,
6.74881187683062,14.0739289827395,,
6.89878547409352,9.59633996780916,,
7.04875907135643,5.29633538683516,,
7.19873266861933,2.8059606244906,,
7.34870626588223,-2.62546579016659,,
7.49867986314513,-1.91019117651535,,
7.64865346040804,-3.69584254620013,,
7.79862705767094,-4.421082172119,,
7.94860065493384,-6.8344046637703,,
8.09857425219674,-7.46977945165907,,
8.24854784945965,-12.9620639180543,,
8.39852144672255,-18.5513441906169,,
8.54849504398545,-26.6862543110294,,
8.69846864124836,-34.5744906851148,,
8.84844223851126,-40.3861209043565,,
