#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	360.0	4.4	20000	263.3	475.9	168.817520	36.534523
0	50.000	361.0	4.4	20000	263.3	475.9	168.438248	36.543152
0	50.000	362.0	4.4	20000	263.3	475.9	168.514771	36.719494
0	50.000	363.0	4.4	20000	263.3	475.9	168.596603	36.717613
0	50.000	364.0	4.4	20000	263.3	475.9	168.759201	36.535210
0	50.000	365.0	4.4	20000	263.3	475.9	168.902222	36.741089
0	50.000	366.0	4.4	20000	263.3	475.9	169.037308	36.892406
0	50.000	367.0	4.5	20000	263.3	475.9	168.908386	36.754921
0	50.000	368.0	4.5	20000	263.3	475.9	169.052780	36.795708
0	50.000	369.0	4.5	20000	263.3	475.9	169.073517	36.964848
0	50.000	370.0	4.5	20000	263.3	475.9	169.084641	36.882122
0	50.000	371.0	4.4	20000	263.3	475.9	169.188766	36.785118
0	50.000	372.0	4.3	20000	263.3	475.9	169.345184	36.963051
0	50.000	373.0	4.1	20000	263.3	475.9	169.269241	37.082516
0	50.000	374.0	4.0	20000	263.3	475.9	169.277405	37.073212
0	50.000	375.0	3.9	20000	263.3	475.9	169.506332	37.284344
0	50.000	376.0	4.0	20000	263.3	475.9	169.789917	37.305695
0	50.000	377.0	4.2	20000	263.3	475.9	169.915466	37.288097
0	50.000	378.0	4.4	20000	263.3	475.9	169.987152	37.316223
0	50.000	379.0	4.6	20000	263.3	475.9	170.024216	37.411572
0	50.000	380.0	4.6	20000	263.3	475.9	170.067093	37.392673
0	50.000	381.0	4.6	20000	263.3	475.9	170.332611	37.409008
0	50.000	382.0	4.6	20000	263.3	475.9	170.355087	37.474445
0	50.000	383.0	4.5	20000	263.3	475.9	170.401672	37.449059
0	50.000	384.0	4.5	20000	263.3	475.9	170.625748	37.433872
0	50.000	385.0	4.5	20000	263.3	475.9	170.593063	37.484028
0	50.000	386.0	4.5	20000	263.3	475.9	170.671417	37.503456
0	50.000	387.0	4.5	20000	263.3	475.9	170.828110	37.480160
0	50.000	388.0	4.5	20000	263.3	475.9	170.850525	37.530666
0	50.000	389.0	4.5	20000	263.3	475.9	170.940948	37.539886
0	50.000	390.0	4.5	20000	263.3	475.9	171.042969	37.559830
0	50.000	391.0	4.5	20000	263.3	475.9	171.121826	37.565613
0	50.000	392.0	4.5	20000	263.3	475.9	171.229980	37.581573
0	50.000	393.0	4.5	20000	263.3	475.9	171.296127	37.595093
0	50.000	394.0	4.5	20000	263.3	475.9	171.410324	37.597744
0	50.000	395.0	4.5	20000	263.3	475.9	171.490067	37.605618
0	50.000	396.0	4.5	20000	263.3	475.9	171.632355	37.617008
0	50.000	397.0	4.6	20000	263.3	475.9	171.711304	37.643177
0	50.000	398.0	4.6	20000	263.3	475.9	171.830124	37.633560
0	50.000	399.0	4.6	20000	263.3	475.9	171.931595	37.633823
0	50.000	400.0	4.6	20000	263.3	475.9	172.034576	37.609993
0	50.000	401.0	4.6	20000	263.3	475.9	172.108246	37.620708
0	50.000	402.0	4.5	20000	263.3	475.9	172.238770	37.607262
0	50.000	403.0	4.5	20000	263.3	475.9	172.355911	37.592426
0	50.000	404.0	4.5	20000	263.3	475.9	172.471848	37.569477
0	50.000	405.0	4.5	20000	263.3	475.9	172.589951	37.552849
0	50.000	406.0	4.5	20000	263.3	475.9	172.708374	37.542381
0	50.000	407.0	4.5	20000	263.3	475.9	172.815353	37.525143
0	50.000	408.0	4.5	20000	263.3	475.9	172.945496	37.502338
0	50.000	409.0	4.6	20000	263.3	475.9	173.061295	37.490879
0	50.000	410.0	4.6	20000	263.3	475.9	173.183868	37.471439
0	50.000	411.0	4.6	20000	263.3	475.9	173.324203	37.455685
0	50.000	412.0	4.5	20000	263.3	475.9	173.446991	37.417137
0	50.000	413.0	4.5	20000	263.3	475.9	173.565323	37.380516
0	50.000	414.0	4.5	20000	263.3	475.9	173.701187	37.341789
0	50.000	415.0	4.5	20000	263.3	475.9	173.837631	37.305702
0	50.000	416.0	4.5	20000	263.3	475.9	173.972717	37.253979
0	50.000	417.0	4.5	20000	263.3	475.9	174.123444	37.207123
0	50.000	418.0	4.5	20000	263.3	475.9	174.238113	37.158440
0	50.000	419.0	4.5	20000	263.3	475.9	174.367386	37.109001
0	50.000	420.0	4.5	20000	263.3	475.9	174.481689	37.055599
0	50.000	421.0	4.5	20000	263.3	475.9	174.613373	36.998726
0	50.000	422.0	4.5	20000	263.3	475.9	174.745956	36.937576
0	50.000	423.0	4.5	20000	263.3	475.9	174.872772	36.880402
0	50.000	424.0	4.5	20000	263.3	475.9	174.987259	36.814129
0	50.000	425.0	4.5	20000	263.3	475.9	175.097290	36.739960
0	50.000	426.0	4.5	20000	263.3	475.9	175.203934	36.671612
0	50.000	427.0	4.5	20000	263.3	475.9	175.312195	36.602333
0	50.000	428.0	4.5	20000	263.3	475.9	175.409363	36.540691
0	50.000	429.0	4.5	20000	263.3	475.9	175.509903	36.463963
0	50.000	430.0	4.5	20000	263.3	475.9	175.596329	36.399471
0	50.000	431.0	4.5	20000	263.3	475.9	175.693573	36.335285
0	50.000	432.0	4.5	20000	263.3	475.9	175.773529	36.276817
0	50.000	433.0	4.5	20000	263.3	475.9	175.848862	36.204758
0	50.000	434.0	4.5	20000	263.3	475.9	175.933990	36.144848
0	50.000	435.0	4.5	20000	263.3	475.9	175.996948	36.091728
0	50.000	436.0	4.5	20000	263.3	475.9	176.067612	36.035381
0	50.000	437.0	4.5	20000	263.3	475.9	176.140854	35.964462
0	50.000	438.0	4.5	20000	263.3	475.9	176.209091	35.905270
0	50.000	439.0	4.5	20000	263.3	475.9	176.275772	35.852703
0	50.000	440.0	4.5	20000	263.3	475.9	176.318298	35.809708
0	50.000	441.0	4.5	20000	263.3	475.9	176.358887	35.758335
0	50.000	442.0	4.5	20000	263.3	475.9	176.416229	35.730846
0	50.000	443.0	4.5	20000	263.3	475.9	176.466187	35.673801
0	50.000	444.0	4.5	20000	263.3	475.9	176.506683	35.621685
0	50.000	445.0	4.5	20000	263.3	475.9	176.562302	35.568748
0	50.000	446.0	4.5	20000	263.3	475.9	176.600601	35.533413
0	50.000	447.0	4.5	20000	263.3	475.9	176.652573	35.494743
0	50.000	448.0	4.4	20000	263.3	475.9	176.691040	35.456722
0	50.000	449.0	4.4	20000	263.3	475.9	176.704239	35.422512
0	50.000	450.0	4.3	20000	263.3	475.9	176.813538	35.447655
0	50.000	451.0	4.3	20000	263.3	475.9	176.877625	35.412476
0	50.000	452.0	4.3	20000	263.3	475.9	176.920578	35.387966
0	50.000	453.0	4.3	20000	263.3	475.9	176.940262	35.363380
0	50.000	454.0	4.4	20000	263.3	475.9	176.974091	35.342941
0	50.000	455.0	4.4	20000	263.3	475.9	177.014999	35.320980
0	50.000	456.0	4.4	20000	263.3	475.9	177.046524	35.301025
0	50.000	457.0	4.4	20000	263.3	475.9	177.082657	35.276901
0	50.000	458.0	4.4	20000	263.3	475.9	177.121277	35.256950
0	50.000	459.0	4.4	20000	263.3	475.9	177.150284	35.239151
0	50.000	460.0	4.4	20000	263.3	475.9	177.164627	35.222004
0	50.000	461.0	4.4	20000	263.3	475.9	177.193787	35.193897
0	50.000	462.0	4.4	20000	263.3	475.9	177.231155	35.173409
0	50.000	463.0	4.4	20000	263.3	475.9	177.266586	35.164265
0	50.000	464.0	4.4	20000	263.3	475.9	177.267990	35.143333
0	50.000	465.0	4.4	20000	263.3	475.9	177.293304	35.118641
0	50.000	466.0	4.4	20000	263.3	475.9	177.314392	35.111240
0	50.000	467.0	4.4	20000	263.3	475.9	177.318787	35.109070
0	50.000	468.0	4.4	20000	263.3	475.9	177.375473	35.082623
0	50.000	469.0	4.4	20000	263.3	475.9	177.391907	35.063004
0	50.000	470.0	4.4	20000	263.3	475.9	177.430191	35.029575
0	50.000	471.0	4.4	20000	263.3	475.9	177.441788	35.008556
0	50.000	472.0	4.4	20000	263.3	475.9	177.462494	34.979927
0	50.000	473.0	4.3	20000	263.3	475.9	177.478699	34.954910
0	50.000	474.0	4.3	20000	263.3	475.9	177.484421	34.950249
0	50.000	475.0	4.3	20000	263.3	475.9	177.494736	34.936886
0	50.000	476.0	4.4	20000	263.3	475.9	177.521637	34.912407
0	50.000	477.0	4.4	20000	263.3	475.9	177.529510	34.910641
0	50.000	478.0	4.4	20000	263.3	475.9	177.528961	34.905479
0	50.000	479.0	4.4	20000	263.3	475.9	177.554550	34.876629
0	50.000	480.0	4.4	20000	263.3	475.9	177.571854	34.869759
0	50.000	481.0	4.4	20000	263.3	475.9	177.601349	34.844055
0	50.000	482.0	4.4	20000	263.3	475.9	177.632019	34.808022
0	50.000	483.0	4.4	20000	263.3	475.9	177.666412	34.778275
0	50.000	484.0	4.3	20000	263.3	475.9	177.686127	34.740799
0	50.000	485.0	4.3	20000	263.3	475.9	177.690231	34.724072
0	50.000	486.0	4.3	20000	263.3	475.9	177.700745	34.698433
0	50.000	487.0	4.3	20000	263.3	475.9	177.699326	34.671371
0	50.000	488.0	4.3	20000	263.3	475.9	177.688492	34.651134
0	50.000	489.0	4.3	20000	263.3	475.9	177.665497	34.634613
0	50.000	490.0	4.3	20000	263.3	475.9	177.679443	34.607315
0	50.000	491.0	4.3	20000	263.3	475.9	177.707596	34.588852
0	50.000	492.0	4.3	20000	263.3	475.9	177.728760	34.572380
0	50.000	493.0	4.3	20000	263.3	475.9	177.761948	34.552086
