#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	449.0	4.4	20000	263.3	475.9	175.007248	35.417213
0	50.000	450.0	4.3	20000	263.3	475.9	174.778458	35.399250
0	50.000	451.0	4.3	20000	263.3	475.9	174.799866	35.365028
0	50.000	452.0	4.3	20000	263.3	475.9	174.840424	35.346836
0	50.000	453.0	4.3	20000	263.3	475.9	174.896515	35.325268
0	50.000	454.0	4.4	20000	263.3	475.9	174.928955	35.309757
0	50.000	455.0	4.4	20000	263.3	475.9	174.935883	35.295330
0	50.000	456.0	4.4	20000	263.3	475.9	174.979248	35.277271
0	50.000	457.0	4.4	20000	263.3	475.9	175.023712	35.269093
0	50.000	458.0	4.4	20000	263.3	475.9	175.052139	35.250984
0	50.000	459.0	4.4	20000	263.3	475.9	175.099701	35.231270
0	50.000	460.0	4.4	20000	263.3	475.9	175.133514	35.221687
0	50.000	461.0	4.4	20000	263.3	475.9	175.152786	35.203526
0	50.000	462.0	4.4	20000	263.3	475.9	175.177979	35.181160
0	50.000	463.0	4.4	20000	263.3	475.9	175.234650	35.174072
0	50.000	464.0	4.4	20000	263.3	475.9	175.256729	35.150887
0	50.000	465.0	4.4	20000	263.3	475.9	175.267685	35.133053
0	50.000	466.0	4.4	20000	263.3	475.9	175.301041	35.110329
0	50.000	467.0	4.4	20000	263.3	475.9	175.337967	35.112965
0	50.000	468.0	4.4	20000	263.3	475.9	175.350708	35.087791
0	50.000	469.0	4.4	20000	263.3	475.9	175.392059	35.078728
0	50.000	470.0	4.4	20000	263.3	475.9	175.390793	35.061501
0	50.000	471.0	4.4	20000	263.3	475.9	175.424332	35.027481
0	50.000	472.0	4.4	20000	263.3	475.9	175.445114	35.028965
0	50.000	473.0	4.3	20000	263.3	475.9	175.471603	35.005444
0	50.000	474.0	4.3	20000	263.3	475.9	175.493988	35.001171
0	50.000	475.0	4.3	20000	263.3	475.9	175.497025	34.979252
0	50.000	476.0	4.4	20000	263.3	475.9	175.513428	34.979664
0	50.000	477.0	4.4	20000	263.3	475.9	175.536377	34.966270
