#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	452.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	453.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	454.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	455.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	456.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	457.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	458.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	459.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	460.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	461.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	462.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	463.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	464.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	465.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	466.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	467.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	468.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	469.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	470.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	471.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	472.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	473.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	474.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	475.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	476.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	477.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	478.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	479.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	480.0	4.4	50000	263.3	475.9	NaN	NaN
