Mem,Width,Length
11,363.13,369.45
12,362.04,328.45
13,304.68,300.1
21,319.51,442.08
22,346.12,349.61
23,298.57,340.01
31,301.63,324.53
32,419.83,366.84
33,394.97,295.3
