% Model:              Membran2D3D25membranethickness.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 4 2025, 21:30
% Dimension:          2
% Nodes:              244
% Expressions:        1
% Description:        Displacement field, Z component
% Length unit:        µm
% cpl1x                   cpl1y                    w (µm) @ memb_thick=2.5, edge_width=200, m_stylus=5, circ_pos=70
51.23836774365946         51.23836774365946        -0.017901292621215925
51.021014961084525        51.02101496108452        -0.018112507603903556
50.90614410881453         50.90614410881453        -0.018226290260030673
50.7486630048594          50.74866300485941        -0.018379498045897117
50.61351548477814         50.61351548477815        -0.01850390037501496
-499.9999999999999        -499.9999999999999       0
-461.2067152521843        -461.20671525218427      -7.106206997806562E-7
-452.4204553688842        -452.4204553688841       -5.991575746078691E-7
-431.5447876735226        -431.5447876735226       -8.983529400669788E-7
-404.838991288963         -404.83899128896303      -8.71725860676159E-7
-401.64570269430715       -401.6457026943071       -8.435298607873624E-7
-399.49391998577795       -399.493919985778        -8.302193519305655E-7
-359.005854099249         -359.005854099249        -8.91770287968771E-7
-348.6244860021648        -348.6244860021649       -8.824550383722464E-7
-300.39085057594815       -300.3908505759482       -8.860289288841848E-7
-299.4376540979375        -299.4376540979375       -8.857300615868514E-7
-298.53403657094134       -298.5340365709413       -8.855376638166142E-7
-171.4324416577674        -171.4324416577674       -8.756577369790568E-7
-161.32303123321648       -161.3230312332165       -8.748125802860981E-7
-151.6015142324374        -151.6015142324374       -8.710805593560416E-7
-129.30148155078248       -129.30148155078246      -8.371611089315429E-7
-250.3955045841206        -250.3955045841206       -8.86925438791378E-7
-225.57002030629616       -225.57002030629616      -8.839455314579788E-7
-118.28947935252698       -118.28947935252697      -7.737869110032079E-7
-111.81880255172229       -111.81880255172227      -7.099656702916373E-7
-196.98364707219895       -196.98364707219892      -8.805898322886717E-7
-106.57061237712182       -106.57061237712182      -6.338482940256459E-7
-100.32237682104025       -100.32237682104025      -5.108829726649927E-7
-94.78850254371831        -94.78850254371831       -3.6714050729439295E-7
-89.49706506247321        -89.49706506247321       -1.973161933112008E-7
-84.53306774855172        -84.5330677485517        -2.2961858067106693E-8
-82.77014234899576        -82.77014234899575       3.759911409394249E-8
-79.85231213485308        -79.85231213485308       9.562208558151216E-8
-77.7946544699767         -77.7946544699767        8.46888254126334E-8
-74.22390061014687        -74.22390061014687       -4.6532777031979857E-7
-76.7860734527808         -76.78607345278081       3.79598457430544E-8
-72.31220481973702        -72.31220481973702       -2.0814192541652166E-6
-73.22811710475948        -73.22811710475948       -1.0318153197411695E-6
499.9999999999999         499.9999999999999        3.9997454654741814E-37
462.11904772907565        462.11904772907576       -8.005904595160271E-7
-70.69065173831274        -70.69065173831254       -9.571349832511774E-6
450.06561853961955        450.06561853961944       -6.758016018185425E-7
433.09829522028224        433.09829522028224       -8.903012466539596E-7
-69.65281132103533        -69.65281132103534       -2.3738868924695667E-5
406.86833040814145        406.86833040814133       -8.473862822904422E-7
404.8685821449764         404.8685821449763        -8.239135947901919E-7
-68.73412095849274        -68.73412095849272       -4.389664463268068E-5
-68.66644845140249        -68.66644845140249       -4.5652614476677375E-5
402.7970809398303         402.79708093983027       -8.190722845004732E-7
373.445285961653          373.445285961653         -9.003751917259135E-7
353.2174518048988         353.21745180489893       -8.89179364554114E-7
-68.60876063803043        -68.60876063803043       -4.717643282311551E-5
-67.60604013770669        -67.60604013770669       -7.775467522360691E-5
330.6845660527718         330.68456605277186       -8.889718963166078E-7
306.9665897844655         306.96658978446555       -8.928086136824671E-7
-67.08715234017838        -67.08715234017839       -9.658134343468834E-5
-66.21591590115953        -66.21591590115953       -1.326730704750393E-4
277.27954199079124        277.27954199079124       -8.928057300656216E-7
275.13435621666173        275.1343562166618        -8.929059415966128E-7
-65.82582126360847        -65.82582126360849       -1.506255613691264E-4
-64.66815731827238        -64.66815731827236       -2.1024028374550031E-4
-65.12765131223784        -65.12765131223783       -1.854511935141312E-4
-64.41647114400358        -64.41647114400358       -2.244398575701764E-4
270.082217724827          270.08221772482705       -8.939306893874341E-7
243.58141080393062        243.58141080393068       -8.98852727787125E-7
228.66189643082922        228.66189643082922       -9.032713561436157E-7
-63.473005990848236       -63.47300599084825       -2.814874370898216E-4
-62.80991542603388        -62.80991542603389       -3.251399241970865E-4
203.27116418625457        203.27116418625454       -9.047215588376698E-7
168.03406112212005        168.03406112212005       -8.161162407636106E-7
-62.000183329511614       -62.000183329511614      -3.8233649797160226E-4
-60.898259594128646       -60.89825959412864       -4.668760377557863E-4
-59.70077805411964        -59.70077805411964       -5.67274655240288E-4
158.21468719898039        158.2146871989804        -7.433806455725432E-7
138.39434708774576        138.39434708774576       -5.944171798562412E-7
129.7278669889557         129.7278669889557        -7.019142884676664E-7
-57.96225211019984        -57.96225211019984       -7.282773241013876E-4
-57.27532780284799        -57.27532780284799       -7.967519568571612E-4
107.58898346204384        107.58898346204384       -3.4073044050730458E-6
116.03316678444361        116.03316678444362       -1.6524526743148586E-6
-56.977041787514544       -56.97704178751455       -8.273423054612816E-4
-54.354562289277986       -54.354562289277986      -0.0011171519238418188
-55.42797944550826        -55.42797944550825       -9.939890691165413E-4
96.4231719498061          96.42317194980612        -8.987354422832143E-6
100.43680637253543        100.43680637253541       -6.368200250532871E-6
-54.07654791209673        -54.07654791209673       -0.0011500799074846667
-52.08625456886436        -52.08625456886436       -0.0013973767225002038
88.68456631592431         88.68456631592431        -1.7690031138717617E-5
92.40713233099709         92.40713233099709        -1.272489559887028E-5
-50.42684846585733        -50.42684846585733       -0.0016189435885253086
-49.66871611742337        -49.66871611742336       -0.0017247314329714859
82.73599721140184         82.73599721140182        -3.139521490843156E-5
84.24559039504996         84.24559039504994        -2.7010660440343077E-5
-46.810020741564294       -46.810020741564294      -0.00214822566860061
-46.54398930249272        -46.54398930249272       -0.0021896186920695665
80.10086890691696         80.10086890691694        -4.2120886467309914E-5
77.84700151896362         77.84700151896362        -5.557210984416946E-5
-46.29987012008271        -46.29987012008271       -0.0022279441935864988
-42.84734429585633        -42.84734429585633       -0.0027975077591932797
74.08036955253587         74.08036955253587        -1.0244382215979948E-4
76.73243005239036         76.73243005239037        -6.472096980754867E-5
-39.17617755402188        -39.176177554021876      -0.0034603570345962233
-39.061341180940474       -39.06134118094048       -0.0034820594172910177
72.2249151693118          72.2249151693118         -1.6518191566023945E-4
73.02494410702587         73.02494410702587        -1.308799514281898E-4
